Title,Artist Display Name,Period,Object Date,Classification,Link Resource
清 郎世寧	百駿圖白描稿 卷|One Hundred Horses,Giuseppe Castiglione,Qing dynasty (1644–1911),datable to 1723–25,Paintings,http://www.metmuseum.org/art/collection/search/44632
,Katsushika Hokusai,Edo period (1615–1868),ca. 1810,Paintings,http://www.metmuseum.org/art/collection/search/44634
南宋  馬遠  月下賞梅圖  團扇|Viewing plum blossoms by moonlight,Ma Yuan,Southern Song dynasty (1127–1279),early 13th century,Paintings,http://www.metmuseum.org/art/collection/search/44638
琴棋書画図屏風|The Four Accomplishments,Kano Motonobu 狩野元信,Muromachi period (1392–1573),mid-16th century,Paintings,http://www.metmuseum.org/art/collection/search/44673
農耕作月次図屏風|Farmers' Lives in the Twelve Months,,Edo period (1615–1868),late 17th–early 18th century,Paintings,http://www.metmuseum.org/art/collection/search/44674
,Sesson Shūkei 雪村周継,Muromachi period (1392–1573),ca. 1570,Paintings,http://www.metmuseum.org/art/collection/search/44696
明景泰   佚名   北斗中斗本命星君圖   軸|Star deities of the northern and central dippers,Unidentified artist,"Ming dynasty (1368–1644), Jingtai period (1450–56)",dated 1454,Paintings,http://www.metmuseum.org/art/collection/search/44698
明   戴進   雪歸圖    軸|Returning home through the snow,Dai Jin,Ming dynasty (1368–1644),ca. 1455,Paintings,http://www.metmuseum.org/art/collection/search/44699
元    鄧宇    竹石圖    軸|Bamboo and rock,Deng Yu,Yuan dynasty (1271–1368),ca. 1360–67,Paintings,http://www.metmuseum.org/art/collection/search/44701
元    王蒙     蕭林寂亭圖    團扇|Sparse trees and pavilion,Wang Meng,late Yuan dynasty (1271–1368),late 1350s,Paintings,http://www.metmuseum.org/art/collection/search/44702
明    鍾禮    觀瀑圖    軸|Li Bai gazing at the waterfall on Mount Lu,Zhong Li,Ming dynasty (1368–1644),late 15th century,Paintings,http://www.metmuseum.org/art/collection/search/44703
,,"Qing dynasty (1644–1911), Kangxi period (1662–1722)","dated March 18, 1714",Paintings,http://www.metmuseum.org/art/collection/search/44709
,,Qing dynasty (1644–1911),"dated October 9, 1862",Paintings,http://www.metmuseum.org/art/collection/search/44710
清  倣張風  石橋圖  軸|The Stone Bridge,Zhang Feng,Qing dynasty (1644–1911),dated 1661,Paintings,http://www.metmuseum.org/art/collection/search/44720
"明/清  陳洪綬  山水人物花卉圖  冊|Landscapes, Figures, and Flowers",Chen Hongshou,Ming dynasty (1368–1644),dated 1618–22,Paintings,http://www.metmuseum.org/art/collection/search/44759
작자미상 화조도 조선|作者未詳 花鳥圖 朝鮮|Birds and Flowers,Unidentified artist,Joseon dynasty (1392–1910),late 19th–early 20th century,Paintings,http://www.metmuseum.org/art/collection/search/44760
烏丸光広筆　十牛図歌賛図巻|Ten Oxherding Songs,Karasumaru Mitsuhiro,Edo period (1615–1868),ca. 1634,Paintings,http://www.metmuseum.org/art/collection/search/44761
明窓筆 虎図|Tiger,Meisō,Edo period (1615–1868),early 18th century,Paintings,http://www.metmuseum.org/art/collection/search/44762
,,Kizil kingdom,ca. 6th–7th century,Paintings,http://www.metmuseum.org/art/collection/search/44794
涅槃図|Death of the Historical Buddha (Nehan-zu),,Kamakura period (1185–1333),14th century,Paintings,http://www.metmuseum.org/art/collection/search/44841
十一面観音影向図|Eleven-Headed Kannon on Mount Fudaraku,,Kamakura period (1185–1333),13th century,Paintings,http://www.metmuseum.org/art/collection/search/44843
金剛界曼荼羅諸尊図像|Scroll of Deities of the Diamond World Mandala,,Heian period (794–1185),dated 1083,Paintings,http://www.metmuseum.org/art/collection/search/44845
藤原鎌足像|Fujiwara no Kamatari as a Shinto Deity,,Nanbokuchō period (1336–92),after 1350,Paintings,http://www.metmuseum.org/art/collection/search/44847
"『妙法蓮華経』 「観世音菩薩普門品」|“Universal Gateway,” Chapter 25 of the Lotus Sutra",Sugawara Mitsushige,Kamakura period (1185–1333),dated 1257,Paintings,http://www.metmuseum.org/art/collection/search/44849
"『妙法蓮華経』　「提婆達多品第十二」|“Devadatta,” Chapter 12 of the Lotus Sutra (Hoke-kyō, Daibadatta-bon)",,Heian period (794–1185),12th century,Paintings,http://www.metmuseum.org/art/collection/search/44851
拾遺古徳伝絵断簡|Illustrated Biography of Hōnen (Shūikotokūden-e),,Kamakura period (1185–1333),ca. 1310–20,Paintings,http://www.metmuseum.org/art/collection/search/44852
保元平治合戦図屏風|The Rebellions of the Hōgen and Heiji Eras,,Edo period (1615–1868),17th century,Paintings,http://www.metmuseum.org/art/collection/search/44853
,Ukita Ikkei,Edo period (1615–1868),ca. 1858,Paintings,http://www.metmuseum.org/art/collection/search/44854
芦雁図|Reeds and Geese,Tesshū Tokusai,Nanbokuchō period (1336–92),"dated 11th month, 1343",Paintings,http://www.metmuseum.org/art/collection/search/44855
芦雁図|Reeds and Geese,Tesshū Tokusai,Nanbokuchō period (1336–92),"dated 11th month, 1343",Paintings,http://www.metmuseum.org/art/collection/search/44856
蘭蕙同芳図|Orchids and Rock,Gyokuen Bonpō,Muromachi period (1392–1573),late 14th–early 15th century,Paintings,http://www.metmuseum.org/art/collection/search/44857
老梅図襖|Old Plum,Kano Sansetsu,Edo period (1615–1868),1646,Paintings,http://www.metmuseum.org/art/collection/search/44858
本阿見光悦書・俵屋宗達下絵　桜下絵和歌色紙　鴨長明|Poem by Kamo no Chōmei with Underpainting of Cherry Blossoms,Tawaraya Sōtatsu|Hon'ami Kōetsu,Momoyama period (1573–1615),dated 1606,Paintings,http://www.metmuseum.org/art/collection/search/44861
,Okumura Masanobu,Edo period (1615–1868),18th century,Paintings,http://www.metmuseum.org/art/collection/search/44863
,Ike Taiga,Edo period (1615–1868),probably 19th century,Paintings,http://www.metmuseum.org/art/collection/search/44865
明  陳洪綬  山水花鳥人物圖   扇冊|Landscapes and Flowers,Chen Hongshou,late Ming (1368–1644)–early Qing (1644–1911) dynasty,first half of the 17th century,Paintings,http://www.metmuseum.org/art/collection/search/44873
狩野探水守常筆　蓬莱山・瀟湘八景図|Mount Penglai with Eight Views of Xiao and Xiang,Kano Tansui Moritsune,Edo period (1615–1868),19th century,Paintings,http://www.metmuseum.org/art/collection/search/44876
春日宮曼荼羅図|Kasuga Mandala,,Kamakura period (1185–1333),13th century,Paintings,http://www.metmuseum.org/art/collection/search/44885
一字金輪曼荼羅|Mandala of the One-Syllable Golden Wheel,,Edo period (1615–1868),18th century,Paintings,http://www.metmuseum.org/art/collection/search/44886
"大般若経（中尊寺経）|Great Wisdom Sutra (Daihannya-kyō), from the Chūsonji Temple Sutra Collection (Chūsonji-kyō)",,Heian period (794–1185),ca. 1175,Paintings,http://www.metmuseum.org/art/collection/search/44887
"「高陽院駒競行幸絵巻」『栄花物語』  断簡|""Imperial Visit to the Great Horse Race at the Kaya-no-in Mansion""  from the Tale of Flowering Fortunes",,Kamakura period (1185–1333),13th–14th century,Paintings,http://www.metmuseum.org/art/collection/search/44889
,Kushiro Unsen,Edo period (1615–1868),18th–19th century,Paintings,http://www.metmuseum.org/art/collection/search/44895
"尾形光琳筆　松竹に鶴図屏風|Cranes, Pines, and Bamboo",Ogata Kōrin,Edo period (1615–1868),early 18th century,Paintings,http://www.metmuseum.org/art/collection/search/44896
狩野常信筆　潇湘八景図巻|Eight Views of the Xiao and Xiang Rivers,Kano Tsunenobu,Edo period (1615–1868),late 17th–early 18th century,Paintings,http://www.metmuseum.org/art/collection/search/44897
,Shōkadō Shōjō 松花堂昭乗|Maruyama Ōkyo 円山応挙,Edo period (1615–1868),late 18th century,Paintings,http://www.metmuseum.org/art/collection/search/44899
,Fujiwara no Nobuzane,Kamakura period (1185–1333),13th century,Paintings,http://www.metmuseum.org/art/collection/search/44908
二月堂焼経|Nigatsudō Burned Sutra,Unidentified artist,Nara period (710–794),ca. 744,Paintings,http://www.metmuseum.org/art/collection/search/44909
愛染明王像|Aizen Myōō,,Nanbokuchō period (1336–92),14th century,Paintings,http://www.metmuseum.org/art/collection/search/44910
『図像抄』〈十巻抄〉明王部諸尊|Iconographic Drawings of the Five Kings of Wisdom (Myōō-bu shoson),,Heian period (794–1185),12th century,Paintings,http://www.metmuseum.org/art/collection/search/44911
伝土佐光茂筆　芥子図屏風|Red and White Poppies,Tosa Mitsumochi,Momoyama (1573–1615)– Edo (1615–1868) period,early 17th century,Paintings,http://www.metmuseum.org/art/collection/search/44914
波濤図屏風|Rough Waves,Ogata Kōrin,Edo period (1615–1868),ca. 1704–9,Paintings,http://www.metmuseum.org/art/collection/search/44918
,Kawamata Tsuneyuki,Edo period (1615–1868),18th century,Paintings,http://www.metmuseum.org/art/collection/search/44938
室内風俗図屏風|Interior Scene with Books and Writing Implements,Unidentified artist,Edo period (1615–1868),early to mid-17th century,Paintings,http://www.metmuseum.org/art/collection/search/44939
見立琴碁書画屏風|Parody of the Four Accomplishments,Shibata Zeshin,late Edo (1615–1868) or Meiji (1868–1912) period,second half of the 19th century,Paintings,http://www.metmuseum.org/art/collection/search/44941
,Jakusai 寂済,Muromachi period (1392–1573),late 14th–15th century,Paintings,http://www.metmuseum.org/art/collection/search/44952
"幻の源氏物語絵巻　「葵」|“Leaves of Wild Ginger” (Aoi), from the Phantom Genji Scrolls (Maboroshi no Genji monogatari emaki)",,Edo period (1615–1868),mid-17th century,Paintings,http://www.metmuseum.org/art/collection/search/44958
當麻曼荼羅図 |Taima Mandala,,Nanbokuchō period (1336–92),probably late 14th century,Paintings,http://www.metmuseum.org/art/collection/search/44983
十一面観音来迎図|Descent of Eleven-Headed Kannon,,Kamakura period (1185–1333),14th century,Paintings,http://www.metmuseum.org/art/collection/search/44984
明  傳項元汴  秋江圖  卷|River Landscape,Xiang Yuanbian,Ming dynasty (1368–1644),dated 1578,Paintings,http://www.metmuseum.org/art/collection/search/45032
狩野常信筆　四愛図 |Four Admirers,Kano Tsunenobu,Edo period (1615–1868),late 17th–early 18th century,Paintings,http://www.metmuseum.org/art/collection/search/45042
전 일호 남계우 나비와 모란   조선|傳 一濠 南啓宇 蝴蝶圖   朝鮮|Butterflies and Peonies,Nam Gye-u,Joseon dynasty (1392–1910),mid- to late19th century,Paintings,http://www.metmuseum.org/art/collection/search/45063
,Kano Motonobu,Muromachi period (1392–1573),16th century,Paintings,http://www.metmuseum.org/art/collection/search/45070
,Sesson Shūkei,Muromachi period (1392–1573),16th century,Paintings,http://www.metmuseum.org/art/collection/search/45072
蔦紅葉図|Autumn Ivy,Ogata Kenzan,Edo period (1615–1868),after 1732,Paintings,http://www.metmuseum.org/art/collection/search/45076
月に秋草図屏風|Autumn Grasses in Moonlight,Shibata Zeshin,Meiji period (1868–1912),second half of the 19th century,Paintings,http://www.metmuseum.org/art/collection/search/45080
久隅守景筆　西湖図屏風|View of West Lake,Kusumi Morikage,Edo period (1615–1868),mid-to-late 17th century,Paintings,http://www.metmuseum.org/art/collection/search/45082
,,Edo period (1615–1868),second quarter of the 17th century,Paintings,http://www.metmuseum.org/art/collection/search/45094
祇園大鳥居屏風|The Torii Gate of Gion Shrine,,Edo period (1615–1868),early 17th century,Paintings,http://www.metmuseum.org/art/collection/search/45095
商山四皓・蘇東坡風水洞|The Return to Court of the Four Graybeards of Mount Shang (left); Su Shi’s Visit to the Wind and Water Cave (right,Kano Mitsunobu 狩野光信,Momoyama period (1573–1615),late 16th century,Paintings,http://www.metmuseum.org/art/collection/search/45180
"土佐派   屋島合戦図屏風|The Battle of Yashima, from The Tale of the Heike (Heike monogatari)",Tosa School,Edo period (1615–1868),17th century,Paintings,http://www.metmuseum.org/art/collection/search/45182
,Tani Bunchō|Watanabe Kazan|Sakai Hōitsu|sixty-six others,Edo period (1615–1868),1820,Paintings,http://www.metmuseum.org/art/collection/search/45183
,Hanzan (Matsukawa),Edo period (1615–1868),19th century,Paintings,http://www.metmuseum.org/art/collection/search/45188
迎接曼荼羅図|Descent and Return of Amida to Western Paradise with a Believer's Soul (Gōshō mandara),,Kamakura period (1185–1333),ca. 1300,Paintings,http://www.metmuseum.org/art/collection/search/45201
龍湫周沢写　不動明王二童子像|Fudō Myōō and Two Attendants,Ryūshū Shūtaku (Myōtaku),Nanbokuchō period (1336–92),,Paintings,http://www.metmuseum.org/art/collection/search/45202
龍湫周沢写　不動明王二童子像|Fudō Myōō and Two Attendants,Ryūshū Shūtaku (Myōtaku),Nanbokuchō period (1336–92),,Paintings,http://www.metmuseum.org/art/collection/search/45203
龍湫周沢写　不動明王二童子像|Fudō Myōō and Two Attendants,Ryūshū Shūtaku (Myōtaku),Nanbokuchō period (1336–92),,Paintings,http://www.metmuseum.org/art/collection/search/45204
伝狩野之信筆　花鳥図|Birds and Flowers,Kano Yukinobu 狩野之信,Muromachi period (1392–1573),mid-16th century,Paintings,http://www.metmuseum.org/art/collection/search/45206
"出山釈迦像 (Shussan Shaka zō)|Shaka (Shakyamuni), The Historical Buddha, Descending from the Mountains",,Muromachi period (1392–1573),15th century,Paintings,http://www.metmuseum.org/art/collection/search/45208
仏伝図|Scene from the Life of the Buddha,,Muromachi period (1392–1573),early 15th century,Paintings,http://www.metmuseum.org/art/collection/search/45209
仏伝図|Scene from the Life of the Buddha,,Muromachi period (1392–1573),early 15th century,Paintings,http://www.metmuseum.org/art/collection/search/45210
仏伝図|Scene from the Life of the Buddha,,Muromachi period (1392–1573),early 15th century,Paintings,http://www.metmuseum.org/art/collection/search/45211
仏伝図|Scene from the Life of the Buddha,,Muromachi period (1392–1573),early 15th century,Paintings,http://www.metmuseum.org/art/collection/search/45212
仏伝図|Scene from the Life of the Buddha,,Muromachi period (1392–1573),early 15th century,Paintings,http://www.metmuseum.org/art/collection/search/45213
誰ヶ袖図屏風|Tagasode (“Whose Sleeves?”),,Momoyama (1573–1615) or Edo (1615–1868) period,first half of 17th century,Paintings,http://www.metmuseum.org/art/collection/search/45214
狩野周信筆  七福神唐子図屏風|Seven Gods of Good Fortune and Chinese Children,Kano Chikanobu,Edo period (1615–1868),17th–18th century,Paintings,http://www.metmuseum.org/art/collection/search/45217
伝狩野永徳筆　唐美人図|Chinese Women in a Palace Garden,Kano Eitoku,Momoyama period (1573–1615),late 16th century,Paintings,http://www.metmuseum.org/art/collection/search/45219
蓮生法師図|Monk Renshō Riding His Horse Backwards,Matsumura Goshun,Edo period (1615–1868),"after 1782, ca. 1784",Paintings,http://www.metmuseum.org/art/collection/search/45222
,Eiraku Hozen,Edo period (1615–1868),after 1848,Paintings,http://www.metmuseum.org/art/collection/search/45229
,Tomioka Tessai 富岡鉄斎,Meiji (1868–1912)–Taishō  (1912–26) period,19th–20th century,Paintings,http://www.metmuseum.org/art/collection/search/45230
,Katsukawa Shunshō　勝川春章,Edo period (1615–1868),18th century,Paintings,http://www.metmuseum.org/art/collection/search/45231
,Katsukawa Shunshō　勝川春章,Edo period (1615–1868),18th century,Paintings,http://www.metmuseum.org/art/collection/search/45232
,Katsukawa Shunshō　勝川春章,Edo period (1615–1868),18th century,Paintings,http://www.metmuseum.org/art/collection/search/45233
書画押絵貼屏風|Miscellaneous Paintings and Calligraphy,Nagasawa Rosetsu 長澤蘆雪|Shishin Sōgin　指津宗琅,Edo period (1615–1868),"second month, 1785",Paintings,http://www.metmuseum.org/art/collection/search/45234
五髻文殊菩薩像|The Bodhisattva Monju (Manjushri) with Five Topknots,,Kamakura period (1185–1333),13th century,Paintings,http://www.metmuseum.org/art/collection/search/45236
慈恩大師像|Portrait of Jion Daishi (Guiji),,Kamakura period (1185–1333),14th century,Paintings,http://www.metmuseum.org/art/collection/search/45238
白衣観音図|White-Robed Kannon,,Muromachi period (1392–1573),15th century,Paintings,http://www.metmuseum.org/art/collection/search/45244
,Shinno Noami,Muromachi period (1392–1573),15th century,Paintings,http://www.metmuseum.org/art/collection/search/45245
阿弥陀聖衆来迎図 |Welcoming Descent of Amida and Bodhisattvas,Unidentified artist,Nanbokuchō period (1336–92),late 14th century,Paintings,http://www.metmuseum.org/art/collection/search/45249
伝土佐光信筆 四季竹図屏風|Bamboo in the Four Seasons,Tosa Mitsunobu,Muromachi period (1392–1573),late 15th–early 16th century,Paintings,http://www.metmuseum.org/art/collection/search/45258
武蔵野図屏風|The Plains of Musashi,,Edo period (1615–1868),17th century,Paintings,http://www.metmuseum.org/art/collection/search/45262
舞楽図屏風 ・唐獅子図屏風|Bugaku Dances (front); Chinese Lions (reverse),Hanabusa Itchō,Edo period (1615–1868),early 18th century,Paintings,http://www.metmuseum.org/art/collection/search/45264
尾形乾山筆　定家詠十二ヶ月和歌 花鳥図　 『拾遺愚草』　より四月|“Fourth Month” from Fujiwara no Teika’s “Birds and Flowers of the Twelve Months” ,Ogata Kenzan,Edo period (1615–1868),1743,Paintings,http://www.metmuseum.org/art/collection/search/45275
尾形乾山筆　定家詠十二ヶ月和歌 花鳥図　『拾遺愚草』　より六月|“Sixth Month” from Fujiwara no Teika’s “Birds and Flowers of the Twelve Months” ,Ogata Kenzan,Edo period (1615–1868),1743,Paintings,http://www.metmuseum.org/art/collection/search/45276
元賀筆　ガマズミ属に山鵲図|Magpie on Viburnum Branch,Genga,Muromachi period (1392–1573),early 16th century,Paintings,http://www.metmuseum.org/art/collection/search/45326
秋の花に鶉図|Quail and Autumn Flowers,Tosa Mitsuoki,Edo period (1615–1868),late 17th century,Paintings,http://www.metmuseum.org/art/collection/search/45327
,Ogata Kōrin,Edo period (1615–1868),,Paintings,http://www.metmuseum.org/art/collection/search/45329
,Kuwayama Gyokushū,Edo period (1615–1868),late 18th century,Paintings,http://www.metmuseum.org/art/collection/search/45331
墨竹扇面図|Bamboo and Rocks by a Stream,Takaku Aigai,Edo period (1615–1868),1832,Paintings,http://www.metmuseum.org/art/collection/search/45332
,Tsubaki Kakoku,Edo period (1615–1868),,Paintings,http://www.metmuseum.org/art/collection/search/45333
鉄線下絵和歌色紙|Poem by Fujiwara no Okikaze with Underpainting of Clematis,Shōkadō Shōjō 松花堂昭乗|Tawaraya Sōtatsu 俵屋宗達,Edo period (1615–1868),early 17th century,Paintings,http://www.metmuseum.org/art/collection/search/45334
松花堂昭乗書・伝俵屋宗達下絵   和歌色紙  |Poem by Onakatomi Yoshinobu with Underpainting of Hollyhocks,Shōkadō Shōjō|Tawaraya Sōtatsu,Edo period (1615–1868),early 17th century,Paintings,http://www.metmuseum.org/art/collection/search/45335
"集一切福徳三昧経.|Illustrated Frontispiece to the Sutra of Enlightenment through the Accumulation of Merit and Virtue, the So-called Jingoji Sutra",,late Heian period (ca. 900–1185),ca. 1150–85,Paintings,http://www.metmuseum.org/art/collection/search/45336
,Iwasa Matabei,Edo period (1615–1868),early 17th century,Paintings,http://www.metmuseum.org/art/collection/search/45340
三谷等宿筆　伝三谷等宿筆　松と椿に鷹・柳と椿に小禽図屏風|Hawks with Pine Trees and Camellias; Small Birds with Willows and Camellias,Mitani Tōshuku,Edo period (1615–1868),early 17th century,Paintings,http://www.metmuseum.org/art/collection/search/45341
,Yosa Buson,Edo period (1615–1868),ca. 1780,Paintings,http://www.metmuseum.org/art/collection/search/45352
竹取物語|The Tale of the Bamboo Cutter,,Edo period (1615–1868),late 17th century,Paintings,http://www.metmuseum.org/art/collection/search/45361
,,Edo period (1615–1868),18th century,Paintings,http://www.metmuseum.org/art/collection/search/45362
,Tosa School,Edo period (1615–1868),late 18th century,Paintings,http://www.metmuseum.org/art/collection/search/45363
源氏物語絵巻  「澪標」|“Channel Markers” (Miotsukushi),,"Nanbokuchō (1336–92) or Muromachi (1392–1573) period,",late 14th–early 15th century,Paintings,http://www.metmuseum.org/art/collection/search/45366
"「六波羅行幸」　平治物語絵巻　断簡|Scene from “Imperial Visit to Rokuhara,” from The Tale of the Heiji Rebellion (Heiji monogatari)",,Edo period (1615–1868),18th century,Paintings,http://www.metmuseum.org/art/collection/search/45368
釈迦三尊像|Shaka (Shakyamuni) Triad,,Kamakura period (1185–1333),13th century,Paintings,http://www.metmuseum.org/art/collection/search/45369
聖徳太子絵伝図|Illustrated Biography of Prince Shōtoku (Shōtoku Taishi e-den),,Kamakura period (1185–1333),14th century,Paintings,http://www.metmuseum.org/art/collection/search/45370
聖徳太子絵伝図|Illustrated Biography of Prince Shōtoku (Shōtoku Taishi e-den),,Kamakura period (1185–1333),14th century,Paintings,http://www.metmuseum.org/art/collection/search/45371
伝春日基光筆　玄奘三蔵像|Portrait of Xuanzang (Genjō) with Attendant,Kasuga Motomitsu,Kamakura period (1185–1333),14th century,Paintings,http://www.metmuseum.org/art/collection/search/45372
群仙図屏風|Immortals,Hasegawa Sakon 長谷川左近,early Edo period (1615–1868),ca. 1620s–30s,Paintings,http://www.metmuseum.org/art/collection/search/45373
列子御風図扇面 (Resshi gyofū zu senmen)|The Daoist Immortal Liezi Flying on a Cloud,Kano Yukinobu 狩野之信,Muromachi period (1392–1573),16th century,Paintings,http://www.metmuseum.org/art/collection/search/45374
誰が袖図屏風|Whose Sleeves? (Tagasode),,Momoyama (1573–1615)–Edo period 1615–1868),(right screen) late 16th–early 17th century; (left screen) early to mid-17th century,Paintings,http://www.metmuseum.org/art/collection/search/45375
,Kano Eisen'in Furunobu 狩野永川院古,Edo period (1615–1868),early 18th century,Paintings,http://www.metmuseum.org/art/collection/search/45376
御所車図|Imperial Carts (Gosho guruma),,Edo period (1615–1868),mid-17th century,Paintings,http://www.metmuseum.org/art/collection/search/45377
,Kita Genki,Edo period (1615–1868),1666,Paintings,http://www.metmuseum.org/art/collection/search/45378
,Watanabe Kazan,Edo period (1615–1868),19th century,Paintings,http://www.metmuseum.org/art/collection/search/45379
,Kaigetsudō Dohan,Edo period (1615–1868),ca. 1715,Paintings,http://www.metmuseum.org/art/collection/search/45380
,Kaigetsudō Dohan,Edo period (1615–1868),18th century,Paintings,http://www.metmuseum.org/art/collection/search/45381
異国人交易図屏風|Foreign Merchants in Japanese Trade Port,,Edo period (1615–1868),early 19th century,Paintings,http://www.metmuseum.org/art/collection/search/45382
"俵屋宗達工房 大原御幸図屏風|Royal Visit to Ōhara, from The Tale of the Heike",Tawaraya Sōtatsu,Edo period (1615–1868),first half of the 17th century,Paintings,http://www.metmuseum.org/art/collection/search/45388
,Kano Kōi,Edo period (1615–1868),early 17th century,Paintings,http://www.metmuseum.org/art/collection/search/45389
酒井抱一筆　柿図屏風|Persimmon Tree,Sakai Hōitsu,Edo period (1615–1868),1816,Paintings,http://www.metmuseum.org/art/collection/search/45392
,Noro Kaiseki,Edo period (1615–1868),1822,Paintings,http://www.metmuseum.org/art/collection/search/45393
,Okada Beisanjin,Edo period (1615–1868),,Paintings,http://www.metmuseum.org/art/collection/search/45394
,Tani Bunchō,Edo period (1615–1868),1791,Paintings,http://www.metmuseum.org/art/collection/search/45395
雪兎図|Painting the Eyes on a Snow Rabbit,Isoda Koryūsai,Edo period (1615–1868),ca. 1780,Paintings,http://www.metmuseum.org/art/collection/search/45396
,,Edo period (1615–1868),18th century,Paintings,http://www.metmuseum.org/art/collection/search/45397
,Chōbunsai Eishi,Edo period (1615–1868),late 18th–19th century,Paintings,http://www.metmuseum.org/art/collection/search/45398
仏涅槃図|Death of the Historical Buddha (Nehan-zu),,Muromachi period (1392–1573),15th century,Paintings,http://www.metmuseum.org/art/collection/search/45417
狩野探幽筆　月夜山水図|Landscape in Moonlight,Kano Tan'yū,Edo period (1615–1868),after 1662,Paintings,http://www.metmuseum.org/art/collection/search/45418
狩野探幽筆　月夜山水図|Landscape in Moonlight,Kano Tan'yū,Edo period (1615–1868),after 1662,Paintings,http://www.metmuseum.org/art/collection/search/45419
狩野探幽筆　月夜山水図|Landscape in Moonlight,Kano Tan'yū,Edo period (1615–1868),after 1662,Paintings,http://www.metmuseum.org/art/collection/search/45420
,,Edo period (1615–1868),17th century,Paintings,http://www.metmuseum.org/art/collection/search/45421
,Maruyama Ōkyo 円山応挙,Edo period (1615–1868),dated 1773,Paintings,http://www.metmuseum.org/art/collection/search/45422
,Unkoku Tōeki,Edo period (1615–1868),17th century,Paintings,http://www.metmuseum.org/art/collection/search/45423
,Utagawa Hiroshige,Edo period (1615–1868),19th century,Paintings,http://www.metmuseum.org/art/collection/search/45425
,Okada Beisanjin,Edo period (1615–1868),1817,Paintings,http://www.metmuseum.org/art/collection/search/45426
源氏物語画帖|The Tale of Genji (Genji Monogatari),Shōren'in Sonjun Shinnō|Tosa Mitsusada,Edo period (1615–1868),17th century,Paintings,http://www.metmuseum.org/art/collection/search/45427
北野天神縁起絵巻|Illustrated Legends of the Kitano Tenjin Shrine (Kitano Tenjin engi emaki),,Kamakura period (1185–1333),late 13th century,Paintings,http://www.metmuseum.org/art/collection/search/45428
三樹坡曉色图|View of the Kamo River from Sanbogi at Dawn,Oda Kaisen,Edo period (1615–1868),1829,Paintings,http://www.metmuseum.org/art/collection/search/45430
,Kano School,Edo period (1615–1868),early 19th century,Paintings,http://www.metmuseum.org/art/collection/search/45499
舞楽図巻|Bugaku Imperial Court Dance,,Edo period (1615–1868),17th century,Paintings,http://www.metmuseum.org/art/collection/search/45520
白描印相図巻|Scroll of Mudras,,Heian period (794–1185),11th–12th century,Paintings,http://www.metmuseum.org/art/collection/search/45523
白衣観音図|White-Robed Kannon,,Kamakura period (1185–1333),13th century,Paintings,http://www.metmuseum.org/art/collection/search/45524
神於寺縁起絵巻断簡|Scene from The Illustrated Legends of Jin’ōji Temple (Jin’ōji engi emaki),,Nanbokuchō period (1336–92),14th century,Paintings,http://www.metmuseum.org/art/collection/search/45525
,Kawanabe Kyōsai 河鍋暁斎,Meiji period (1868–1912),ca. 1887,Paintings,http://www.metmuseum.org/art/collection/search/45526
曲技図巻|Acrobats,,Edo period (1615–1868),ca. 1800s,Paintings,http://www.metmuseum.org/art/collection/search/45528
,,Edo period (1615–1868),18th century,Paintings,http://www.metmuseum.org/art/collection/search/45580
釈迦如来像|Shaka Nyorai,,Nanbokuchō period (1336–92),14th century,Paintings,http://www.metmuseum.org/art/collection/search/45591
阿弥陀如来像|Welcoming Descent of Amida Buddha,,Muromachi period (1392–1573),15th–16th century,Paintings,http://www.metmuseum.org/art/collection/search/45592
阿弥陀二十五菩薩来迎図|Buddha and Attendants,,Edo period (1615–1868),17th–18th century,Paintings,http://www.metmuseum.org/art/collection/search/45593
当麻曼荼羅|Taima Mandala,,Edo period (1615–1868),1750,Paintings,http://www.metmuseum.org/art/collection/search/45594
十一面観音来迎図|Descent of Eleven-Headed Kannon,Unidentified artist,Muromachi period (1392–1573),mid–late 16th century,Paintings,http://www.metmuseum.org/art/collection/search/45595
八字文殊菩薩像|Monju Bosatsu with Eight Sacred Sanskrit Syllables,,Nanbokuchō period (1336–92),mid- to late 14th century,Paintings,http://www.metmuseum.org/art/collection/search/45596
弥勒菩薩像|Miroku Bosatsu,,Kamakura period (1185–1333),14th century,Paintings,http://www.metmuseum.org/art/collection/search/45597
地蔵来迎図|Welcoming Descent of Jizō,,Kamakura (1185–1333)–Nanbokuchō period (1336–92),early 14th century,Paintings,http://www.metmuseum.org/art/collection/search/45598
地蔵菩薩来迎図|Welcoming Descent of the Bodhisattva Jizō,Unidentified artist,Kamakura period (1185–1333),14th century,Paintings,http://www.metmuseum.org/art/collection/search/45599
見返り地蔵菩薩図|The Bodhisattva Jizō “Looking Back”,Unidentified artist,Nanbokuchō period (1336–92),14th century,Paintings,http://www.metmuseum.org/art/collection/search/45601
地蔵菩薩像|Jizō Bosatsu,,Muromachi period (1392–1573),15th century,Paintings,http://www.metmuseum.org/art/collection/search/45603
真言諸尊図像抄|Scroll from the Compendium of Iconographic Drawings (Zuzōshō),,Heian (794–1185) or Kamakura (1185–1333) period,late 12th century,Paintings,http://www.metmuseum.org/art/collection/search/45605
衿羯羅童子像　|Kongara-doji,Ryūshū Shūtaku (Myōtaku),Nanbokuchō period (1336–92),1387,Paintings,http://www.metmuseum.org/art/collection/search/45606
