Title,Artist Display Name,Period,Object Date,Classification,Link Resource
清   佚名   倣石濤   十六羅漢圖   卷|(Copy after) The Sixteen Luohans,Shitao (Zhu Ruoji),Qing dynasty (1644–1911),19th–early 20th century,Paintings,http://www.metmuseum.org/art/collection/search/36018
明   佚名   傳文伯仁   山水圖   卷|Landscape,Wen Boren,Ming (1368–1644)–Qing (1644–1911) dynasty,dated 1558,Paintings,http://www.metmuseum.org/art/collection/search/36019
明/清   佚名   傳馬麟   石榴白鳥圖   冊頁	|Pomegranates after Ma Lin,Ma Lin|Unidentified artist,Ming (1368–1644)–Qing (1644–1911) dynasty,,Paintings,http://www.metmuseum.org/art/collection/search/36020
明?   佚名   舊傳貫休   羅漢圖   軸|Luohan,Guanxiu,Ming dynasty (1368–1644),15th century?,Paintings,http://www.metmuseum.org/art/collection/search/36021
明  顧懿德  倣王蒙玩月圖  軸|Enjoying the Moon: Landscape in the Manner of Wang Meng,Gu Yide,Ming dynasty (1368–1644),dated 1628,Paintings,http://www.metmuseum.org/art/collection/search/36022
明  傳張路  溪畔漁家圖  軸|Fisherman and family,Zhang Lu,Ming dynasty (1368–1644),16th century,Paintings,http://www.metmuseum.org/art/collection/search/36023
明   居節   石泉圖   軸|Recluse gazing at a waterfall,Ju Jie,Ming dynasty (1368–1644),1559,Paintings,http://www.metmuseum.org/art/collection/search/36024
清   佚名   倣吳歷   茂林草堂圖   軸|A Lodge in the Hills,Wu Li,Qing dynasty (1644–1911),spuriously dated 1703,Paintings,http://www.metmuseum.org/art/collection/search/36025
清 佚名 傳王文治  蘭亭修禊圖 軸|Spring Ablutions at the Orchid Pavilion,Wang Wenzhi,Qing dynasty (1644–1911),,Paintings,http://www.metmuseum.org/art/collection/search/36026
清  張庚  倣王蒙山水圖  軸|Landscape After Wang Meng,Zhang Geng,Qing dynasty (1644–1911),dated 1759,Paintings,http://www.metmuseum.org/art/collection/search/36027
明   佚名   絹本設色   童子戯魚圖   軸|Children Playing,Unidentified,Ming dynasty (1368–1644),16th–17th century,Paintings,http://www.metmuseum.org/art/collection/search/36028
수월관음도 고려|水月觀音圖 高麗|Water-moon Avalokiteshvara,Unidentified artist,Goryeo dynasty (918–1392),first half of the 14th century,Paintings,http://www.metmuseum.org/art/collection/search/36029
明   沈碩   仿仇英文玉圖   軸|Lady in a Bamboo Grove after Qiu Ying,Shen Shuo,Ming dynasty (1368–1644),,Paintings,http://www.metmuseum.org/art/collection/search/36030
,Unidentified artist|Li Gonglin,Ming dynasty (1368–1644) (?),,Paintings,http://www.metmuseum.org/art/collection/search/36032
宋/元   佚名   百牛圖   卷|One hundred water buffalo,Unidentified artist|Jiangcan,Southern Song (1127–1279) or Yuan (1271–1368) dynasty,13th century,Paintings,http://www.metmuseum.org/art/collection/search/36033
明  佚名  婦女肖像 圖   鏡面|Portrait of a Lady,Unidentified artist,Ming dynasty (1368–1644),late 16th–early 17th century,Paintings,http://www.metmuseum.org/art/collection/search/36034
,Wen Tong,Ming dynasty (1368–1644),16th century,Paintings,http://www.metmuseum.org/art/collection/search/36035
,Jiang Tingxi,Qing dynasty (1644–1911),dated 1724,Paintings,http://www.metmuseum.org/art/collection/search/36036
南宋  佚名  倣馬遠  松陰玩月圖  冊頁|Viewing the Moon under a Pine Tree,Ma Yuan,Southern Song dynasty (1127–1279),early 13th century,Paintings,http://www.metmuseum.org/art/collection/search/36037
明  佚名  柳馬圖  冊頁|Horse and Willow Tree,Unidentified artist,Ming dynasty (1368–1644),early 15th century,Paintings,http://www.metmuseum.org/art/collection/search/36039
元 佚名 仕女像 軸|Portrait of a Lady,Li Gonglin|Unidentified artist,Yuan dynasty (1271–1368),14th century,Paintings,http://www.metmuseum.org/art/collection/search/36041
元　佚名　 陳容　僞款　雲行雨施圖　卷|Dragon and Landscape,Unidentified artist|Chen Rong,Yuan dynasty (1271–1368),14th century; plus later addition,Paintings,http://www.metmuseum.org/art/collection/search/36042
,Ogawa Haritsu (Ritsuō),Edo period (1615–1868),18th century,Paintings,http://www.metmuseum.org/art/collection/search/36043
清 張宗蒼 山水 冊 紙本|Miniature landscapes,Zhang Zongcang,Qing dynasty (1644–1911),datable to 1751–54,Paintings,http://www.metmuseum.org/art/collection/search/36047
